Initialization
--------------------------------------------------------------
 Step |   Time |      Value |   node_per_layer |   num_layer |
    1 | 01m01s |   -0.04954 |          89.6787 |      2.5236 |
    2 | 00m36s |   -0.06106 |          56.3109 |      2.7769 |
Bayesian Optimization
--------------------------------------------------------------
 Step |   Time |      Value |   node_per_layer |   num_layer |
    3 | 01m04s |   -0.04753 |         200.0000 |      2.0000 |
    4 | 00m51s |   -0.06086 |         147.1453 |      2.0016 |
    5 | 01m35s |   -0.05240 |         199.9099 |      2.9973 |
    6 | 00m21s |   -0.99906 |           1.0687 |      2.0006 |
    7 | 00m40s |   -0.07505 |          71.4727 |      2.0000 |
    8 | 01m04s |   -0.04669 |         117.5790 |      3.0000 |
    9 | 01m01s |   -0.05782 |         177.7926 |      2.0000 |
   10 | 01m01s |   -0.04731 |         102.9721 |      3.0000 |
   11 | 00m49s |   -0.06721 |         129.2390 |      2.0010 |
   12 | 01m21s |   -0.04631 |         161.8990 |      2.9996 |
   13 | 00m50s |   -0.05401 |          91.7415 |      3.0000 |
   14 | 00m43s |   -0.06652 |         110.5364 |      2.0000 |
   15 | 00m30s |   -0.09386 |          45.1256 |      2.0000 |
   16 | 01m02s |   -0.04763 |         191.2763 |      2.0025 |
   17 | 01m15s |   -0.04776 |         153.8785 |      2.9985 |
   18 | 01m11s |   -0.04472 |         139.9482 |      2.9993 |
   19 | 00m37s |   -0.07175 |          84.1547 |      2.0035 |
   20 | 00m38s |   -0.07254 |          95.8008 |      2.0008 |
   21 | 01m24s |   -0.04203 |         169.4249 |      3.0000 |
   22 | 00m32s |   -0.07429 |          62.2302 |      2.0042 |
   23 | 01m06s |   -0.04258 |         124.5849 |      2.9988 |
   24 | 01m13s |   -0.04814 |         146.1289 |      3.0000 |
   25 | 00m56s |   -0.05675 |         168.1705 |      2.0023 |
   26 | 01m29s |   -0.04270 |         185.3522 |      2.9992 |
   27 | 01m08s |   -0.04619 |         133.7122 |      2.9996 |
   28 | 01m00s |   -0.05971 |         106.8745 |      2.9983 |
   29 | 01m04s |   -0.04073 |         121.8071 |      2.9970 |
   30 | 00m48s |   -0.06581 |          66.8033 |      2.9993 |
   31 | 01m24s |   -0.04622 |         173.5585 |      2.9973 |
   32 | 00m29s |   -0.09309 |          31.7965 |      3.0000 |
   33 | 01m04s |   -0.04742 |         196.3505 |      2.0000 |
   34 | 01m22s |   -0.05760 |         166.9524 |      2.9993 |
   35 | 01m17s |   -0.04284 |         158.3887 |      2.9981 |
   36 | 01m25s |   -0.04280 |         170.9609 |      2.9975 |
   37 | 00m37s |   -0.07865 |          38.1547 |      3.0000 |
   38 | 01m30s |   -0.04132 |         189.8460 |      2.9999 |
   39 | 01m25s |   -0.04303 |         180.4542 |      2.9993 |
   40 | 00m51s |   -0.05141 |          87.8312 |      2.9942 |
   41 | 01m37s |   -0.04173 |         192.7399 |      2.9974 |
   42 | 00m39s |   -0.06458 |          50.4355 |      2.9990 |
