Step |   Time   |   Value   | node_per_layer | num_layer |
1    |   0m59s  |  0.05025  |      109       |     3     |
2    |   0m35s  |  0.06458  |       50       |     3     |
3    |   0m20s  |  0.28105  |       15       |     2     |
4    |   0m49s  |  0.06348  |      146       |     2     |
5    |   0m60s  |  0.04672  |      120       |     3     |
6    |   0m22s  |  0.28562  |       6        |     3     |
7    |   0m29s  |  0.07429  |       62       |     2     |
8    |   1m34s  |  0.04185  |      196       |     3     |
9    |   0m27s  |  0.07598  |       27       |     3     |
10   |   0m35s  |  0.07402  |       79       |     2     |
11   |   1m04s  |  0.04849  |      199       |     2     |
12   |   1m21s  |  0.05760  |      167       |     3     |
13   |   0m42s  |  0.08557  |      110       |     2     |
14   |   0m60s  |  0.04763  |      191       |     2     |
15   |   0m19s  |  0.31449  |       11       |     2     |
16   |   1m26s  |  0.09444  |      188       |     3     |
17   |   0m42s  |  0.09874  |      107       |     2     |
18   |   1m03s  |  0.06736  |      193       |     2     |
19   |   1m34s  |  0.04185  |      196       |     3     |
20   |   1m02s  |  0.04922  |      128       |     3     |
21   |   0m34s  |  0.07590  |       40       |     3     |
22   |   0m19s  |  0.90059  |       3        |     2     |
23   |   1m21s  |  0.06266  |      172       |     3     |
24   |   1m14s  |  0.05738  |      153       |     3     |
25   |   0m36s  |  0.07175  |       84       |     2     |
26   |   1m28s  |  0.04270  |      185       |     3     |
27   |   0m44s  |  0.06153  |      128       |     2     |
28   |   1m26s  |  0.05551  |      192       |     3     |
29   |   0m35s  |  0.08565  |       77       |     2     |
30   |   0m47s  |  0.05978  |       76       |     3     |
31   |   1m03s  |  0.04467  |      121       |     3     |
32   |   0m46s  |  0.05864  |       72       |     3     |
33   |   0m42s  |  0.07326  |      105       |     2     |
34   |   0m20s  |  0.15761  |       13       |     2     |
35   |   0m23s  |  0.31407  |       7        |     3     |
36   |   0m27s  |  0.08939  |       23       |     3     |
37   |   1m25s  |  0.05002  |      179       |     3     |
38   |   1m02s  |  0.04922  |      128       |     3     |
39   |   0m31s  |  0.07429  |       62       |     2     |
40   |   0m23s  |  0.90398  |       3        |     3     |
41   |   0m37s  |  0.06449  |       49       |     3     |
42   |   0m27s  |  0.08939  |       23       |     3     |
43   |   0m37s  |  0.06287  |       51       |     3     |
44   |   0m45s  |  0.07029  |      122       |     2     |
45   |   1m38s  |  0.06396  |      199       |     3     |
46   |   0m20s  |  0.37390  |       6        |     2     |
47   |   1m02s  |  0.04669  |      118       |     3     |
48   |   1m05s  |  0.04753  |      200       |     2     |
49   |   1m11s  |  0.04324  |      142       |     3     |
50   |   1m23s  |  0.04148  |      170       |     3     |
51   |   0m59s  |  0.04815  |      181       |     2     |
52   |   0m50s  |  0.05310  |       83       |     3     |
53   |   1m23s  |  0.04077  |      176       |     3     |
54   |   1m05s  |  0.05048  |      197       |     2     |
55   |   1m37s  |  0.04173  |      193       |     3     |
56   |   1m04s  |  0.04742  |      196       |     2     |
57   |   0m49s  |  0.06481  |      134       |     2     |
58   |   1m14s  |  0.04627  |      151       |     3     |
59   |   0m37s  |  0.07750  |       78       |     2     |
60   |   1m05s  |  0.04974  |      195       |     2     |
61   |   1m24s  |  0.04148  |      170       |     3     |
62   |   0m22s  |  0.28295  |       14       |     2     |
63   |   1m00s  |  0.05171  |      183       |     2     |
64   |   0m29s  |  0.11310  |       44       |     2     |
65   |   1m23s  |  0.06266  |      172       |     3     |
66   |   0m36s  |  0.06760  |       70       |     2     |
67   |   0m51s  |  0.05141  |       88       |     3     |
68   |   1m00s  |  0.05171  |      183       |     2     |
69   |   0m51s  |  0.04853  |       81       |     3     |
70   |   1m00s  |  0.05782  |      178       |     2     |
71   |   0m59s  |  0.04690  |      100       |     3     |
72   |   0m25s  |  0.15600  |       28       |     2     |
73   |   0m47s  |  0.07120  |      123       |     2     |
74   |   0m50s  |  0.06743  |      131       |     2     |
75   |   0m26s  |  0.10697  |       29       |     2     |
76   |   0m55s  |  0.05235  |      159       |     2     |
77   |   0m53s  |  0.05422  |       85       |     3     |
78   |   1m24s  |  0.03931  |      166       |     3     |
79   |   1m19s  |  0.04605  |      157       |     3     |
80   |   1m12s  |  0.05157  |      133       |     3     |
81   |   0m39s  |  0.07750  |       78       |     2     |
82   |   0m51s  |  0.06743  |      131       |     2     |
83   |   0m55s  |  0.06105  |       94       |     3     |
84   |   1m03s  |  0.06158  |      187       |     2     |
85   |   0m50s  |  0.05438  |       69       |     3     |
86   |   0m26s  |  0.31407  |       7        |     3     |
87   |   1m34s  |  0.04122  |      191       |     3     |
88   |   0m57s  |  0.05235  |      159       |     2     |
89   |   1m08s  |  0.05048  |      197       |     2     |
90   |   0m59s  |  0.05523  |      165       |     2     |
91   |   1m13s  |  0.04693  |      135       |     3     |
92   |   1m31s  |  0.04665  |      181       |     3     |
93   |   0m26s  |  0.34239  |       8        |     2     |
94   |   1m07s  |  0.04517  |      113       |     3     |
95   |   0m35s  |  0.11373  |       38       |     2     |
96   |   0m59s  |  0.05064  |       86       |     3     |
97   |   0m41s  |  0.08385  |       36       |     3     |
98   |   1m05s  |  0.05392  |      180       |     2     |
99   |   1m04s  |  0.05392  |      180       |     2     |
100  |   0m50s  |  0.05541  |      120       |     2     |
